gene_name,transcript_id
ALDH3A2,ENST00000176643.11
ALDH3B1,ENST00000342456.11
ALDH4A1,ENST00000375341.8
ALDH5A1,ENST00000357578.8
ALDH6A1,ENST00000553458.6
ALDH7A1,ENST00000409134.8
ALDH8A1,ENST00000265605.7
ALDOA,ENST00000642816.3
ALDOB,ENST00000647789.2
ALDOC,ENST00000226253.9
ALG1,ENST00000262374.10
ALG10,ENST00000266483.7
ALG10B,ENST00000308742.9
ALG11,ENST00000521508.2
ALG12,ENST00000330817.11
ALG13,ENST00000394780.8
ALG14,ENST00000370205.6
ALG1L2,ENST00000425059.1
ALG2,ENST00000476832.2
ALG3,ENST00000397676.8
ALG5,ENST00000239891.4
ALG6,ENST00000263440.6
ALG8,ENST00000299626.10
ALG9,ENST00000616540.5
ALK,ENST00000389048.8
ALKAL1,ENST00000358543.9
ALKAL2,ENST00000403610.9
ALKBH1,ENST00000216489.8
ALKBH2,ENST00000429722.3
ALKBH3,ENST00000302708.9
ALKBH4,ENST00000292566.4
ALKBH5,ENST00000399138.5
ALKBH7,ENST00000245812.8
ALKBH8,ENST00000428149.7
ALLC,ENST00000252505.4
ALMS1,ENST00000613296.6
ALOX12,ENST00000251535.11
ALOX12B,ENST00000647874.1
ALOX15,ENST00000293761.8
ALOX15B,ENST00000380183.9
ALOX5,ENST00000374391.7
ALOX5AP,ENST00000380490.5
ALOXE3,ENST00000448843.7
ALPG,ENST00000295453.8
ALPI,ENST00000295463.4
ALPK1,ENST00000650871.1
ALPK2,ENST00000361673.4
ALPK3,ENST00000258888.6
ALPL,ENST00000374840.8
ALPP,ENST00000392027.3
ALS2,ENST00000264276.11
ALS2CL,ENST00000318962.9
ALX1,ENST00000316824.4
ALX3,ENST00000647563.2
ALX4,ENST00000652299.1
ALYREF,ENST00000505490.3
AMACR,ENST00000335606.11
AMBN,ENST00000322937.10
AMBP,ENST00000265132.8
AMBRA1,ENST00000683756.1
AMDHD1,ENST00000266736.7
AMDHD2,ENST00000293971.11
AMELX,ENST00000380714.7
AMELY,ENST00000651267.2
AMER1,ENST00000374869.8
AMER2,ENST00000515384.2
AMER3,ENST00000321420.5
AMFR,ENST00000290649.10
AMH,ENST00000221496.5
AMHR2,ENST00000257863.9
AMIGO1,ENST00000369864.5
AMIGO2,ENST00000550413.2
AMIGO3,ENST00000320431.8
AMMECR1,ENST00000262844.10
AMMECR1L,ENST00000272647.10
AMN,ENST00000299155.10
AMN1,ENST00000281471.11
AMOT,ENST00000371959.9
AMOTL1,ENST00000433060.3
AMOTL2,ENST00000249883.10
AMPD1,ENST00000520113.7
AMPD2,ENST00000528667.7
AMPH,ENST00000356264.7
AMT,ENST00000273588.9
AMTN,ENST00000339336.9
AMY1A,ENST00000370083.9
AMY1B,ENST00000330330.10
AMY1C,ENST00000622339.5
AMY2A,ENST00000414303.7
AMY2B,ENST00000684275.1
AMZ1,ENST00000683327.1
AMZ2,ENST00000359904.8
ANAPC1,ENST00000341068.8
ANAPC10,ENST00000507656.6
ANAPC11,ENST00000344877.10
ANAPC13,ENST00000354910.10
ANAPC16,ENST00000299381.5
ANAPC2,ENST00000323927.3
ANAPC4,ENST00000315368.8
ANAPC5,ENST00000261819.8
ANAPC7,ENST00000455511.9
ANG,ENST00000397990.5
ANGEL1,ENST00000251089.8
ANGEL2,ENST00000366962.8
ANGPT1,ENST00000517746.6
ANGPT2,ENST00000629816.3
ANGPT4,ENST00000381922.5
ANGPTL1,ENST00000234816.7
ANGPTL2,ENST00000373425.8
ANGPTL3,ENST00000371129.4
ANGPTL4,ENST00000301455.7
ANGPTL5,ENST00000334289.7
ANGPTL6,ENST00000253109.5
ANGPTL7,ENST00000376819.4
ANGPTL8,ENST00000252453.12
ANHX,ENST00000545940.6
ANK1,ENST00000289734.13
ANK2,ENST00000357077.9
ANK3,ENST00000280772.7
ANKAR,ENST00000684021.1
ANKDD1A,ENST00000319580.13
ANKDD1B,ENST00000601380.4
ANKEF1,ENST00000378392.6
ANKFN1,ENST00000682825.1
ANKFY1,ENST00000341657.9
ANKH,ENST00000284268.8
ANKHD1,ENST00000360839.7
ANKIB1,ENST00000265742.8
ANKK1,ENST00000303941.4
ANKLE1,ENST00000404085.7
ANKLE2,ENST00000357997.10
ANKMY2,ENST00000306999.7
ANKRA2,ENST00000296785.8
ANKRD1,ENST00000371697.4
ANKRD10,ENST00000267339.6
ANKRD11,ENST00000301030.10
ANKRD12,ENST00000262126.9
ANKRD13A,ENST00000261739.9
ANKRD13B,ENST00000394859.8
ANKRD13C,ENST00000370944.9
ANKRD13D,ENST00000511455.7
ANKRD16,ENST00000380094.10
ANKRD17,ENST00000358602.9
ANKRD18A,ENST00000399703.6
ANKRD2,ENST00000370655.6
ANKRD20A1,ENST00000562196.6
ANKRD22,ENST00000371930.5
ANKRD23,ENST00000318357.9
ANKRD26,ENST00000376087.5
ANKRD27,ENST00000306065.9
ANKRD28,ENST00000683139.1
ANKRD29,ENST00000592179.6
ANKRD30A,ENST00000361713.2
ANKRD30BL,ENST00000409867.6
ANKRD31,ENST00000506364.6
ANKRD33,ENST00000301190.11
ANKRD33B,ENST00000296657.7
ANKRD34A,ENST00000606888.3
ANKRD34B,ENST00000338682.8
ANKRD34C,ENST00000421388.4
ANKRD35,ENST00000355594.9
ANKRD36,ENST00000420699.9
ANKRD37,ENST00000335174.6
ANKRD39,ENST00000393537.5
ANKRD40,ENST00000285243.7
ANKRD40CL,ENST00000450727.6
ANKRD42,ENST00000533342.6
ANKRD44,ENST00000282272.15
ANKRD45,ENST00000333279.3
ANKRD46,ENST00000335659.7
ANKRD49,ENST00000544612.6
ANKRD50,ENST00000504087.6
ANKRD52,ENST00000267116.8
ANKRD53,ENST00000360589.4
ANKRD54,ENST00000215941.9
ANKRD55,ENST00000341048.9
ANKRD6,ENST00000339746.9
ANKRD61,ENST00000409061.2
ANKRD62,ENST00000587848.3
ANKRD63,ENST00000434396.2
ANKRD65,ENST00000537107.6
ANKRD66,ENST00000565422.3
ANKRD7,ENST00000265224.9
ANKRD9,ENST00000286918.9
ANKS1A,ENST00000360359.5
ANKS3,ENST00000304283.9
ANKS4B,ENST00000311620.7
ANKS6,ENST00000353234.5
ANKUB1,ENST00000446160.7
ANKZF1,ENST00000323348.10
ANLN,ENST00000265748.7
ANO10,ENST00000292246.8
ANO2,ENST00000682330.1
ANO3,ENST00000256737.8
ANO4,ENST00000392977.8
ANO5,ENST00000324559.9
ANO6,ENST00000320560.13
ANO8,ENST00000159087.7
ANO9,ENST00000332826.7
ANOS1,ENST00000262648.8
ANP32A,ENST00000465139.6
ANP32B,ENST00000339399.5
ANP32D,ENST00000266594.4
ANP32E,ENST00000583931.6
ANPEP,ENST00000300060.7
ANTKMT,ENST00000569529.6
ANTXR1,ENST00000303714.9
ANTXR2,ENST00000403729.7
ANTXRL,ENST00000620264.5
ANXA1,ENST00000257497.11
ANXA10,ENST00000359299.8
ANXA11,ENST00000422982.8
ANXA13,ENST00000419625.6
ANXA2,ENST00000451270.7
ANXA2R,ENST00000616064.2
ANXA3,ENST00000264908.11
ANXA4,ENST00000394295.6
ANXA5,ENST00000296511.10
ANXA6,ENST00000354546.10
ANXA7,ENST00000372921.10
ANXA8,ENST00000585281.6
ANXA8L1,ENST00000619162.5
ANXA9,ENST00000368947.9
AOAH,ENST00000617537.5
AOC1,ENST00000360937.9
AOC2,ENST00000253799.8
AOC3,ENST00000308423.7
AOPEP,ENST00000375315.8
AOX1,ENST00000374700.7
AP1AR,ENST00000274000.10
AP1B1,ENST00000357586.7
AP1G1,ENST00000299980.9
AP1G2,ENST00000397120.8
AP1M1,ENST00000291439.8
AP1M2,ENST00000250244.11
AP1S1,ENST00000337619.11
AP1S2,ENST00000672987.1
AP1S3,ENST00000396654.7
AP2A1,ENST00000354293.10
AP2A2,ENST00000448903.7
AP2B1,ENST00000610402.5
AP2M1,ENST00000292807.9
AP2S1,ENST00000263270.11
AP3B1,ENST00000255194.11
AP3B2,ENST00000535359.6
AP3D1,ENST00000643116.3
AP3M1,ENST00000355264.9
AP3M2,ENST00000396926.8
AP3S1,ENST00000316788.12
AP3S2,ENST00000336418.9
AP4B1,ENST00000369569.6
AP4E1,ENST00000261842.10
AP4M1,ENST00000359593.9
AP4S1,ENST00000542754.7
AP5B1,ENST00000532090.3
AP5M1,ENST00000261558.8
AP5S1,ENST00000615891.2
AP5Z1,ENST00000649063.2
APAF1,ENST00000551964.6
APBA1,ENST00000265381.7
APBA2,ENST00000683413.1
APBA3,ENST00000316757.4
APBB1,ENST00000609360.6
APBB1IP,ENST00000376236.9
APBB2,ENST00000508593.6
APBB3,ENST00000357560.9
APC,ENST00000257430.9
APC2,ENST00000590469.6
APCDD1,ENST00000355285.10
APCDD1L,ENST00000371149.8
APCS,ENST00000255040.3
APEH,ENST00000296456.10
APELA,ENST00000507152.6
APEX1,ENST00000216714.8
APEX2,ENST00000374987.4
APH1A,ENST00000369109.8
APH1B,ENST00000261879.10
API5,ENST00000531273.6
APIP,ENST00000395787.4
APLF,ENST00000303795.9
APLN,ENST00000429967.3
APLP1,ENST00000221891.9
APLP2,ENST00000338167.10
APMAP,ENST00000217456.3
APOA1,ENST00000236850.5
APOA2,ENST00000367990.7
APOA4,ENST00000357780.5
APOA5,ENST00000227665.9
APOB,ENST00000233242.5
APOBEC1,ENST00000229304.5
APOBEC2,ENST00000244669.3
APOBEC3A,ENST00000249116.7
APOBEC3B,ENST00000333467.4
APOBEC3C,ENST00000361441.5
APOBEC3D,ENST00000216099.13
APOBEC3F,ENST00000308521.10
APOBEC3G,ENST00000407997.4
APOBEC3H,ENST00000442487.8
APOBEC4,ENST00000308641.6
APOBR,ENST00000564831.6
APOC1,ENST00000592535.6
APOC2,ENST00000252490.7
APOC3,ENST00000227667.8
APOC4,ENST00000592954.2
APOD,ENST00000343267.8
APOE,ENST00000252486.9
APOF,ENST00000398189.4
APOH,ENST00000205948.11
APOL1,ENST00000397278.8
APOL2,ENST00000358502.10
APOL4,ENST00000683024.1
APOL5,ENST00000249044.2
APOL6,ENST00000409652.5
APOLD1,ENST00000356591.5
APOM,ENST00000375916.4
APOO,ENST00000379226.9
APOOL,ENST00000373173.7
APP,ENST00000346798.8
APPBP2,ENST00000083182.8
APPL1,ENST00000288266.8
APPL2,ENST00000258530.8
APRT,ENST00000378364.8
APTX,ENST00000379817.7
AQP1,ENST00000311813.11
AQP10,ENST00000324978.8
AQP11,ENST00000313578.4
AQP12A,ENST00000337801.9
AQP12B,ENST00000407834.4
AQP2,ENST00000199280.4
AQP3,ENST00000297991.6
